Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,P12,C2,Pm3,C4,C5,C6,C7,P1,P10,P11,C1,PC13,P14,P2,Pc14,Pc8,P5,PC11,P7,Pm14,Pc10,P9,P6,Pm10,PC14,Pm11,PC2,P4,PC9,c10,c11,c12,Pm15,c14,c15,c8,c9,pc13,pc15,pm12,pm13,p8,c13,pm2,c3,pm4,pm5,pm6,pm7,pm8,pm9
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_albicans,ASV413,95969,0.05485347106,12133,0,0,0,0,0,0,19108,0,0,0,0,0,0,0,0,0,0,31980,0,0,0,0,32748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_albicans,ASV970,2882,0.00164727884624,0,0,0,0,0,0,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__unclassified_g__Aspergillus,ASV11,89015,0.050878739243,999,2037,2002,362,816,2062,1727,2177,2535,397,5566,1826,1570,14846,4820,6530,2474,3541,316,2578,4217,972,317,90,64,368,74,757,844,1442,812,694,1237,877,652,738,3789,459,807,1017,1450,1814,698,789,13,1266,451,1247,134,1132,613
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Apiotrichum,s__unclassified_g__Apiotrichum,ASV1,573839,0.327991965943,9741,5620,14867,2558,4253,3376,2662,2152,12917,382,9104,8061,2211,2249,10340,10822,14956,29779,5414,16284,9142,6604,4892,1361,31150,10500,32002,5688,9667,15291,6966,2350,17971,32966,10411,7593,13386,23248,34835,11852,9462,8155,2779,12386,3655,12088,9760,14581,13921,15390,16039
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Cryptococcus_f__Tremellaceae,s__Cryptococcus_cyanovorans,ASV3,177670,0.101551711524,3200,2493,2730,530,2777,2320,1152,600,6328,121,2366,1205,1223,735,4947,7092,5972,7535,2656,5441,5117,1711,1372,782,1896,1868,3211,3611,3604,1700,1994,896,5267,7593,2954,1532,4471,912,12531,3216,2440,6658,1494,6101,1860,5264,6783,6931,5940,3258,3280
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Monascus,s__unclassified_g__Monascus,ASV29,16688,0.00953844184111,38,139,384,88,561,381,272,286,686,107,500,397,210,660,633,367,1550,937,363,779,1211,357,242,43,13,25,29,0,214,321,78,130,5,18,334,320,817,160,177,235,146,1086,71,635,0,113,0,253,0,317,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,g__Candida,s__Candida_parapsilosis,ASV194,65422,0.0373935727546,21,0,0,3307,1669,1032,9802,195,0,11,0,233,0,0,0,0,0,236,0,256,0,0,0,0,0,168,0,0,171,1703,8488,1531,382,7821,3888,7298,2492,60,2769,184,1501,966,3533,785,481,1496,1956,0,921,0,66
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Mrakiaceae,g__Tausonia,s__Tausonia_sp,ASV9,9918,0.00566887980466,80,61,391,171,0,102,128,150,370,1609,749,0,226,42,727,814,478,163,225,382,394,0,0,0,157,0,0,223,90,0,0,0,403,0,650,115,259,0,0,0,0,0,0,203,0,0,0,0,0,429,127
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Pseudallescheria,s__unclassified_g__Pseudallescheria,ASV424,1067,0.00060987041254,109,0,0,0,0,0,0,113,0,0,4,0,39,0,0,0,0,0,0,16,0,0,71,0,0,0,0,0,0,0,0,0,0,0,130,46,0,27,0,0,467,0,0,0,45,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Rozellomycota,c__unclassified_p__Rozellomycota,o__unclassified_p__Rozellomycota,f__unclassified_p__Rozellomycota,g__unclassified_p__Rozellomycota,s__Rozellomycota_sp,ASV87,1514,0.000865364390427,156,306,0,0,0,0,0,112,0,83,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
